ลำดับ,โซน,ผู้จัดการ,สาขา,Google Maps
1,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (ธนิยะ),"https://www.google.com/maps?q=13.730303,100.533171"
2,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (ดุสิต เซ็นทรัล พาร์ค),"https://www.google.com/maps?q=13.7286393,100.5373889"
3,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (พรานนก),https://maps.app.goo.gl/Jm1quHrQKBPzAXZ7A
4,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (Paseo กาญจนาภิเษก),https://maps.app.goo.gl/xojAeVXMB6sNQqCz7
5,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (เซ็นทรัลพระราม 2),https://maps.app.goo.gl/5Agy4zL2nnogA77i6
6,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (The Bright พระราม 2),https://maps.app.goo.gl/5TzzNunzZb8LYahz8
7,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (ศาลายา ปั๊ม PT),https://maps.app.goo.gl/2NZz6i8ioGYySfa97
8,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (ปั๊ม ปตท.เวสวิลเลจ),https://maps.app.goo.gl/kt1PCtQFwSWg4B8u5
9,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (ปตท.บรมราชชนนี),"https://www.google.com/maps?q=13.7804619,100.4133608"
10,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (บางจาก ราชพฤกษ์),https://maps.app.goo.gl/vN7Kx9JumDACKCr69
11,นุชจรินทร์ (พี่กัส),นุชจรินทร์,ร้านส้มตำเจ๊แดง (PTT ราชพฤกษ์),"https://www.google.com/maps?q=13.8908762,100.4507402"
12,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (มอเตอร์เวย์-ชลบุรี),https://maps.app.goo.gl/a4upvTKogCHM1RG3A
13,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (เอกเกณฑ์ พัทยา),https://maps.app.goo.gl/BigKGAK4BmFw966a7
14,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (The Street รัชดา),"https://www.google.com/maps?q=13.7711937,100.5700447"
15,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (PTT. นวลจันทร์),https://maps.app.goo.gl/d5yviUTf5D2QwKb1A
16,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (ปตท. พระราม 4),"https://www.google.com/maps?q=13.7140419,100.582331"
17,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (ต้นซุง),"https://www.google.com/maps?q=13.7712911,100.6070439"
18,คณัสวรรณ (พี่เฟิร์น),คณัสวรรณ,ร้านส้มตำเจ๊แดง (ฟอร์จุนทาวน์),https://maps.app.goo.gl/s5JgP8PdFy8vMhT39
19,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (สยาม),https://maps.app.goo.gl/Q3vSPuHQHz8RME8DA
20,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (สยามพารากอน),https://maps.app.goo.gl/NiVX3YsCqFvB5QFUA
21,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (เซ็นทรัลเวิลด์),https://maps.app.goo.gl/nVLU1i9Th4GYzdD9A
22,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (คู่บอน),https://maps.app.goo.gl/ZodfK1RtnhtXUmPi6
23,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (บางจากสุขุมวิท 62),https://maps.app.goo.gl/GG7a6DBrgRNe8LjL7
24,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (ทากะทาวน์),https://maps.app.goo.gl/rsBPFo32L8GxDw6S9
25,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (Emporium),https://maps.app.goo.gl/Xmv25sQYbqfZpMHAA
26,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (True Digital Park),https://maps.app.goo.gl/fTDi3hGyCgUASSjN6
27,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (For you park บางนา),https://maps.app.goo.gl/WpVZNSdcvwNSS5x7A
28,ขวัญดาว (พี่ดาว),ขวัญดาว,ร้านส้มตำเจ๊แดง (เซ็นทรัลอีสต์วิลล์),https://maps.app.goo.gl/FJFnvV9C2z334axcA
29,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (Charn at the Avenue),https://maps.app.goo.gl/MCdCoEyoAZbV8xbG6
30,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (ปตท. สายไหม 56),https://maps.app.goo.gl/MCCMM2CFqHymCVwQ8
31,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (บางจากรังสิต คลองสอง),https://maps.app.goo.gl/qqQwdFTfnDpJMTbi7
32,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (ฟิวเจอร์ปาร์ค รังสิต),https://maps.app.goo.gl/2RonFJmNHq6bunHm9
33,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (เมืองทองธานี),https://maps.app.goo.gl/5UDW4s3KjxYKJR7M8
34,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (เทพารักษ์-สายไหม),https://maps.app.goo.gl/k9ZXHGwUJrmCXe5L9
35,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (ปั๊มบางจาก-ศาลายา),https://maps.app.goo.gl/rAgmj6HKiW9o29HL6
36,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,ร้านส้มตำเจ๊แดง (ประชาชื่น),https://maps.app.goo.gl/MCmMCqdNLUEZCZMU7
37,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,4007 ซีคอนศรีนครินทร์ (เจ๊แดง จุ่มนัว),https://maps.app.goo.gl/YHRCiFuwvCvSwtFU7
38,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,4008 เซ็นทรัลศาลายา (เจ๊แดง จุ่มนัว),
39,พิมพ์พิชชา (พี่อ้อย),พิมพ์พิชชา,4018 เทอมินอล21 พระราม 3 (เจ๊แดง จุ่มนัว),https://maps.app.goo.gl/zh9MYJHGJCQVG5wU6
40,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (S-Oasis),https://maps.app.goo.gl/6YtA9kwDsDhU6K5c6
41,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (ท็อปส์ เซ็นทรัลลาดพร้าว),https://maps.app.goo.gl/xhUye2qBuzmEd5rJA
42,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (Little Walk รัตนาธิเบศร์),https://maps.app.goo.gl/bQAEJb2EZYLUcY6c8
43,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (The Circle ราชพฤกษ์),https://maps.app.goo.gl/cCAsPsE45F1MqPUr9
44,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (ไอคอนสยาม),https://maps.app.goo.gl/uJttTrr7Jbcm5AmP8
45,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (กรุงเทพกริฑา),https://maps.app.goo.gl/y9JFcvNG6QFknxgg8
46,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (ปั๊มบางจาก รามคำแหง),https://maps.app.goo.gl/hC4v9TxZxWpzQyEa8
47,จุรีพร (พี่อีฟ),จุรีพร,ร้านส้มตำเจ๊แดง (เสนานิคม),https://maps.app.goo.gl/fUcszwPSx59K3ufs9
48,จุรีพร (พี่อีฟ),จุรีพร,4001 แฟชั่น ไอส์แลนด์ (เจ๊แดง จุ่มนัว),https://maps.app.goo.gl/xCWDJBT7AtxtV7Wk8
49,จุรีพร (พี่อีฟ),จุรีพร,4005 ซีคอนบางแค (เจ๊แดง จุ่มนัว),https://maps.app.goo.gl/W7GH5kV1o9mgykzN6
50,จุรีพร (พี่อีฟ),จุรีพร,4015 เดอะมอลล์ท่าพระ (เจ๊แดง จุ่มนัว),https://maps.app.goo.gl/XWDGXZtNRY8KY99Y6
